Frequency (GHz),VertexIndex,vertex_X (mm),vertex_Y (mm),vertex_Z (mm),Re( Total B x ) (T),Im( Total B x ) (T),Re( Total B y ) (T),Im( Total B y ) (T),Re( Total B z ) (T),Im( Total B z ) (T)
0.1,0,6.04792451,138.253197,154.154956,-4.75118505e-08,-2.95008142e-08,3.83348642e-09,-1.21863553e-09,4.73617057e-09,-1.74271542e-09
0.1,1,6.04792451,141.15496,154.154956,-4.61250202e-08,-2.9352794e-08,3.50388385e-09,-1.19854904e-09,4.32573621e-09,-1.75335801e-09
0.1,2,6.04792451,141.15496,157.056719,-4.39622632e-08,-2.92282802e-08,3.11943715e-09,-1.19654708e-09,4.09166878e-09,-1.84065774e-09
0.1,3,6.04792451,138.253197,157.056719,-4.51155202e-08,-2.9416368e-08,3.42552409e-09,-1.23253341e-09,4.47312942e-09,-1.8348566e-09
0.1,4,6.04792451,135.351434,151.253194,-5.19304706e-08,-2.97362046e-08,4.62845451e-09,-1.1951875e-09,5.47790124e-09,-1.61051938e-09
0.1,5,6.04792451,138.253197,151.253194,-5.01151014e-08,-2.96311278e-08,4.27290292e-09,-1.19929644e-09,5.00875519e-09,-1.64274283e-09
0.1,6,6.04792451,135.351434,154.154956,-4.90501328e-08,-2.96337035e-08,4.16080592e-09,-1.2302539e-09,5.1722755e-09,-1.71798198e-09
0.1,7,6.04792451,132.449657,151.253194,-5.39209495e-08,-2.98336182e-08,4.9821991e-09,-1.18227006e-09,5.97630256e-09,-1.56352831e-09
0.1,8,6.04792451,132.449657,154.154956,-5.07392457e-08,-2.97534726e-08,4.4872337e-09,-1.22982913e-09,5.63230973e-09,-1.67752356e-09
0.1,9,6.04792451,132.449657,148.351431,-5.73775978e-08,-2.99779828e-08,5.52488233e-09,-1.12649301e-09,6.33981401e-09,-1.43611956e-09
0.1,10,6.04792451,135.351434,148.351431,-5.50545671e-08,-2.98939113e-08,5.13691845e-09,-1.15376408e-09,5.79532866e-09,-1.4935202e-09
0.1,11,6.04792451,129.547894,151.253194,-5.60893731e-08,-2.99241307e-08,5.33426903e-09,-1.16085608e-09,6.50649223e-09,-1.49940993e-09
0.1,12,6.04792451,129.547894,154.154956,-5.25795727e-08,-2.98565759e-08,4.8083395e-09,-1.22210886e-09,6.11794304e-09,-1.62318736e-09
0.1,13,6.04792451,126.646131,148.351431,-6.26387617e-08,-3.01502432e-08,6.2915575e-09,-1.04322473e-09,7.53973861e-09,-1.27253075e-09
0.1,14,6.04792451,129.547894,148.351431,-5.99042522e-08,-3.00631235e-08,5.9097891e-09,-1.08953069e-09,6.92077373e-09,-1.36243228e-09
0.1,15,6.04792451,126.646131,151.253194,-5.84343205e-08,-3.00084828e-08,5.6806968e-09,-1.12926413e-09,7.06930248e-09,-1.42041567e-09
0.1,16,6.04792451,126.646131,145.449668,-6.72101663e-08,-3.03765759e-08,6.97168545e-09,-9.44210266e-10,8.04015077e-09,-1.11043907e-09
0.1,17,6.04792451,129.547894,145.449668,-6.40438387e-08,-3.0277576e-08,6.54699939e-09,-1.00614972e-09,7.35512407e-09,-1.21419663e-09
0.1,18,6.04792451,123.744361,151.253194,-6.09562392e-08,-3.00859746e-08,6.01811623e-09,-1.08776077e-09,7.66455077e-09,-1.32677014e-09
0.1,19,6.04792451,126.646131,154.154956,-5.45750751e-08,-2.99464205e-08,5.12632115e-09,-1.20523036e-09,6.63096333e-09,-1.55375512e-09
0.1,20,6.04792451,123.744361,154.154956,-5.67190064e-08,-3.00223562e-08,5.4361462e-09,-1.1767689e-09,7.16907822e-09,-1.47060741e-09
0.1,21,6.04792451,123.744361,148.351431,-6.55795418e-08,-3.02383292e-08,6.66378108e-09,-9.89750837e-10,8.1987821e-09,-1.16643706e-09
0.1,22,6.04792451,123.744361,145.449668,-7.06218373e-08,-3.04881631e-08,7.39027683e-09,-8.71879735e-10,8.7741876e-09,-9.88162885e-10
0.1,23,6.04792451,120.842598,148.351431,-6.87293422e-08,-3.03309626e-08,7.02726988e-09,-9.25089949e-10,8.89951135e-09,-1.04267683e-09
0.1,24,6.04792451,120.842598,151.253194,-6.36546744e-08,-3.01574552e-08,6.34300079e-09,-1.04030562e-09,8.29153102e-09,-1.21954424e-09
0.1,25,6.04792451,120.842598,142.547891,-8.03402287e-08,-3.10095061e-08,8.67052563e-09,-6.45829279e-10,1.02825561e-08,-6.31352748e-10
0.1,26,6.04792451,123.744361,142.547891,-7.61121157e-08,-3.08401553e-08,8.20479862e-09,-7.4089529e-10,9.39466638e-09,-7.93022426e-10
0.1,27,6.04792451,120.842598,145.449668,-7.42787805e-08,-3.06114742e-08,7.79702081e-09,-7.94905031e-10,9.56238022e-09,-8.47246273e-10
