Frequency (GHz),VertexIndex,vertex_X (mm),vertex_Y (mm),vertex_Z (mm),Re( Total B x ) (T),Im( Total B x ) (T),Re( Total B y ) (T),Im( Total B y ) (T),Re( Total B z ) (T),Im( Total B z ) (T)
0.1,0,6.04792451,138.753191,154.154956,-5.01699127e-10,2.64966604e-10,4.74066585e-11,8.11111872e-11,9.24735913e-11,6.82202489e-11
0.1,1,6.04792451,141.654953,154.154956,-4.77417494e-10,2.83040064e-10,4.86179499e-11,7.75058628e-11,8.57053734e-11,6.66413383e-11
0.1,2,6.04792451,141.654953,157.056719,-4.46817694e-10,2.86518614e-10,4.26002671e-11,7.62063607e-11,8.20690182e-11,6.35108285e-11
0.1,3,6.04792451,138.753191,157.056719,-4.68400763e-10,2.69405886e-10,4.08762572e-11,7.95753255e-11,8.8176258e-11,6.4871615e-11
0.1,4,6.04792451,135.851428,154.154956,-5.25716248e-10,2.45311021e-10,4.59685692e-11,8.43562165e-11,9.97579797e-11,7.00663416e-11
0.1,5,6.04792451,135.851428,157.056719,-4.89642549e-10,2.50877707e-10,3.89167865e-11,8.25895879e-11,9.47676451e-11,6.64303612e-11
0.1,6,6.04792451,130.047888,151.253194,-6.15893947e-10,1.91313201e-10,5.14683782e-11,9.2423541e-11,1.23613633e-10,7.85005394e-11
0.1,7,6.04792451,132.949665,151.253194,-5.89578442e-10,2.15360188e-10,5.26952822e-11,8.95983149e-11,1.14014964e-10,7.58607274e-11
0.1,8,6.04792451,132.949665,154.154956,-5.49360446e-10,2.24170418e-10,4.43151418e-11,8.72845338e-11,1.07704803e-10,7.21404117e-11
0.1,9,6.04792451,130.047888,154.154956,-5.72470626e-10,2.01625633e-10,4.24118414e-11,8.9840399e-11,1.16272617e-10,7.44413073e-11
0.1,10,6.04792451,130.047888,148.351431,-6.61064647e-10,1.78970408e-10,6.16538626e-11,9.53505469e-11,1.31754288e-10,8.24094057e-11
0.1,11,6.04792451,132.949665,148.351431,-6.31255659e-10,2.04634767e-10,6.20515792e-11,9.22412355e-11,1.20922411e-10,7.94156685e-11
0.1,12,6.04792451,127.146125,154.154956,-5.94912564e-10,1.77752424e-10,4.02786311e-11,9.20387169e-11,1.25560451e-10,7.70293621e-11
0.1,13,6.04792451,130.047888,157.056719,-5.30530342e-10,2.09848416e-10,3.42657396e-11,8.75541167e-11,1.09683047e-10,7.02874148e-11
0.1,14,6.04792451,127.146125,157.056719,-5.49902013e-10,1.87548144e-10,3.15505157e-11,8.94770924e-11,1.18017332e-10,7.25155769e-11
0.1,15,6.04792451,127.146125,151.253194,-6.41664499e-10,1.65805022e-10,5.00550885e-11,9.48889023e-11,1.34070685e-10,8.14203011e-11
0.1,16,6.04792451,127.146125,148.351431,-6.90495938e-10,1.51706467e-10,6.10863027e-11,9.81359716e-11,1.4364121e-10,8.57148241e-11
0.1,17,6.04792451,127.146125,145.449668,-7.41733508e-10,1.35443171e-10,7.36522371e-11,1.01800859e-10,1.54231766e-10,8.99824382e-11
0.1,18,6.04792451,130.047888,145.449668,-7.08268555e-10,1.64617722e-10,7.32153227e-11,9.86800711e-11,1.40721726e-10,8.62291696e-11
0.1,19,6.04792451,124.244362,154.154956,-6.16518059e-10,1.52680452e-10,3.78724725e-11,9.38474159e-11,1.35594785e-10,7.98761821e-11
0.1,20,6.04792451,124.244362,157.056719,-5.68311065e-10,1.64161088e-10,2.85232653e-11,9.10470102e-11,1.26985408e-10,7.50456086e-11
0.1,21,6.04792451,124.244362,151.253194,-6.66725841e-10,1.38948852e-10,4.83556944e-11,9.69838584e-11,1.45426809e-10,8.46154674e-11
0.1,22,6.04792451,124.244362,145.449668,-7.74910913e-10,1.04613214e-10,7.39626832e-11,1.04570082e-10,1.69072201e-10,9.41054179e-11
0.1,23,6.04792451,124.244362,148.351431,-7.19364457e-10,1.22931915e-10,6.0289912e-11,1.00535587e-10,1.56575988e-10,8.93630794e-11
0.1,24,6.04792451,121.342599,154.154956,-6.37146558e-10,1.26499811e-10,3.5174523e-11,9.52649626e-11,1.46372678e-10,8.29523672e-11
0.1,25,6.04792451,121.342599,157.056719,-5.85692106e-10,1.39806583e-10,2.52329425e-11,9.22132926e-11,1.36571143e-10,7.77999887e-11
0.1,26,6.04792451,121.342599,142.547891,-8.71732853e-10,4.92082833e-11,9.13340584e-11,1.11997828e-10,2.0196636e-10,1.04063667e-10
0.1,27,6.04792451,124.244362,142.547891,-8.33816627e-10,8.40102432e-11,8.97486876e-11,1.09159327e-10,1.83047175e-10,9.8878794e-11
0.1,28,6.04792451,121.342599,145.449668,-8.07596656e-10,7.22360713e-11,7.40260769e-11,1.06983193e-10,1.85412005e-10,9.86530649e-11
0.1,29,6.04792451,118.440829,154.154956,-6.56547705e-10,9.93391619e-11,3.20884951e-11,9.63030142e-11,1.57912294e-10,8.63204438e-11
0.1,30,6.04792451,118.440829,157.056719,-6.01812211e-10,1.14610738e-10,2.16362969e-11,9.29470528e-11,1.46767903e-10,8.07832898e-11
0.1,31,6.04792451,118.440829,148.351431,-7.74760256e-10,6.13208581e-11,5.77254841e-11,1.04225698e-10,1.86023558e-10,9.76756315e-11
0.1,32,6.04792451,121.342599,148.351431,-7.47547912e-10,9.27424249e-11,5.9191152e-11,1.02587681e-10,1.70685174e-10,9.3338906e-11
0.1,33,6.04792451,121.342599,151.253194,-6.90901947e-10,1.1083949e-10,4.63627123e-11,9.86878426e-11,1.57700894e-10,8.81241816e-11
0.1,34,6.04792451,118.440829,151.253194,-7.13968884e-10,8.16122031e-11,4.39714064e-11,1.00015392e-10,1.70954362e-10,9.19265428e-11
0.1,35,6.04792451,118.440829,142.547891,-9.09293807e-10,1.27947037e-11,9.26130769e-11,1.14441671e-10,2.22901211e-10,1.09791107e-10
0.1,36,6.04792451,118.440829,145.449668,-8.39585346e-10,3.84238613e-11,7.37400488e-11,1.08956608e-10,2.03272399e-10,1.03624283e-10
0.1,37,6.04792451,115.539066,154.154956,-6.74541478e-10,7.13150233e-11,2.85670879e-11,9.69292285e-11,1.70203837e-10,8.99354202e-11
0.1,38,6.04792451,115.539066,157.056719,-6.16487694e-10,8.86380414e-11,1.76401237e-11,9.33393016e-11,1.57563421e-10,8.40315317e-11
0.1,39,6.04792451,115.539066,151.253194,-7.35696282e-10,5.13864437e-11,4.11441957e-11,1.00902328e-10,1.85141402e-10,9.60363317e-11
0.1,40,6.04792451,115.539066,148.351431,-8.0075524e-10,2.87615209e-11,5.57344067e-11,1.05403054e-10,2.02593442e-10,1.02393607e-10
0.1,41,6.04792451,115.539066,139.646128,-1.02858488e-09,-5.6606525e-11,1.17857821e-10,1.23422855e-10,2.72363049e-10,1.23500807e-10
0.1,42,6.04792451,118.440829,139.646128,-9.84636817e-10,-1.56405253e-11,1.14917485e-10,1.20802895e-10,2.45035964e-10,1.16216821e-10
0.1,43,6.04792451,115.539066,142.547891,-9.46200118e-10,-2.50754851e-11,9.33861183e-11,1.16516824e-10,2.45958309e-10,1.16029845e-10
0.1,44,6.04792451,112.637296,154.154956,-6.90878244e-10,4.25550706e-11,2.45630703e-11,9.7104158e-11,1.83163623e-10,9.38118611e-11
